REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,Value
AFG,Afghanistan,AEDES,Aedes,,,IDX,Index,6.2
AFG,Afghanistan,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.6
AFG,Afghanistan,CHLD_HEALTH,Child health,,,IDX,Index,8.5
AFG,Afghanistan,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,9.4
AFG,Afghanistan,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
AFG,Afghanistan,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,7.9
AFG,Afghanistan,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,7.3
AFG,Afghanistan,COMM_ASSETS,Communication assets,,,IDX,Index,4.9
AFG,Afghanistan,DENGUE,Dengue,,,IDX,Index,5.9
AFG,Afghanistan,EDUCATION,Education,,,IDX,Index,6.6
AFG,Afghanistan,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
AFG,Afghanistan,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.8
AFG,Afghanistan,HEATWAVES,Heatwaves,,,IDX,Index,7.3
AFG,Afghanistan,MALARIA,Malaria,,,IDX,Index,7.9
AFG,Afghanistan,MAT_HEALTH,Maternal health,,,IDX,Index,9.7
AFG,Afghanistan,POLLUTION_AIR,Air pollution,,,IDX,Index,10.0
AFG,Afghanistan,POLLUTION_LEAD,Lead pollution,,,IDX,Index,10
AFG,Afghanistan,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.7
AFG,Afghanistan,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,9.5
"AFG,Afghanistan,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,7.5"
AFG,Afghanistan,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,10
AFG,Afghanistan,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,7.7
AFG,Afghanistan,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
AFG,Afghanistan,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,5.6
"AFG,Afghanistan,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,8"
AFG,Afghanistan,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.1
AFG,Afghanistan,ZIKA,Zika,,,IDX,Index,0.0
AGO,Angola,AEDES,Aedes,,,IDX,Index,9.5
AGO,Angola,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,7.9
AGO,Angola,CHLD_HEALTH,Child health,,,IDX,Index,9.5
AGO,Angola,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,9.1
AGO,Angola,CHLD_NUTRITION,Child nutrition,,,IDX,Index,10
AGO,Angola,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,8.9
AGO,Angola,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.5
AGO,Angola,COMM_ASSETS,Communication assets,,,IDX,Index,9.9
AGO,Angola,DENGUE,Dengue,,,IDX,Index,9.1
AGO,Angola,EDUCATION,Education,,,IDX,Index,7.5
AGO,Angola,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
AGO,Angola,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.1
AGO,Angola,HEATWAVES,Heatwaves,,,IDX,Index,8.3
AGO,Angola,MALARIA,Malaria,,,IDX,Index,6.3
AGO,Angola,MAT_HEALTH,Maternal health,,,IDX,Index,7.7
AGO,Angola,POLLUTION_AIR,Air pollution,,,IDX,Index,7.3
AGO,Angola,POLLUTION_LEAD,Lead pollution,,,IDX,Index,8.6
AGO,Angola,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,4.0
AGO,Angola,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,6.9
"AGO,Angola,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,9.2"
AGO,Angola,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,8.3
AGO,Angola,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,9.3
AGO,Angola,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
AGO,Angola,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,8.5
"AGO,Angola,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,9.6"
AGO,Angola,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.3
AGO,Angola,ZIKA,Zika,,,IDX,Index,8.1
ALB,Albania,AEDES,Aedes,,,IDX,Index,0.0
ALB,Albania,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.8
ALB,Albania,CHLD_HEALTH,Child health,,,IDX,Index,0.9
ALB,Albania,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,2.7
ALB,Albania,CHLD_NUTRITION,Child nutrition,,,IDX,Index,2.9
ALB,Albania,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.5
ALB,Albania,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.5
ALB,Albania,COMM_ASSETS,Communication assets,,,IDX,Index,3.6
ALB,Albania,DENGUE,Dengue,,,IDX,Index,3.7
ALB,Albania,EDUCATION,Education,,,IDX,Index,1.8
ALB,Albania,FLOODS_COASTAL,Coastal floods,,,IDX,Index,9.6
ALB,Albania,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.6
ALB,Albania,HEATWAVES,Heatwaves,,,IDX,Index,7.4
ALB,Albania,MALARIA,Malaria,,,IDX,Index,0.0
ALB,Albania,MAT_HEALTH,Maternal health,,,IDX,Index,4.4
ALB,Albania,POLLUTION_AIR,Air pollution,,,IDX,Index,4.4
ALB,Albania,POLLUTION_LEAD,Lead pollution,,,IDX,Index,6.7
ALB,Albania,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,8.4
ALB,Albania,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,7.7
"ALB,Albania,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.5"
ALB,Albania,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3.3
ALB,Albania,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.6
ALB,Albania,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ALB,Albania,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,1.1
"ALB,Albania,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,1.1"
ALB,Albania,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.7
ALB,Albania,ZIKA,Zika,,,IDX,Index,0.0
ARE,United Arab Emirates,AEDES,Aedes,,,IDX,Index,5.7
ARE,United Arab Emirates,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.3
ARE,United Arab Emirates,CHLD_HEALTH,Child health,,,IDX,Index,0.6
ARE,United Arab Emirates,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,4.4
ARE,United Arab Emirates,CHLD_NUTRITION,Child nutrition,,,IDX,Index,8.5
ARE,United Arab Emirates,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.0
ARE,United Arab Emirates,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,6.0
ARE,United Arab Emirates,COMM_ASSETS,Communication assets,,,IDX,Index,0.0
ARE,United Arab Emirates,DENGUE,Dengue,,,IDX,Index,8.9
ARE,United Arab Emirates,EDUCATION,Education,,,IDX,Index,0.3
ARE,United Arab Emirates,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
ARE,United Arab Emirates,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,4.5
ARE,United Arab Emirates,HEATWAVES,Heatwaves,,,IDX,Index,6.1
ARE,United Arab Emirates,MALARIA,Malaria,,,IDX,Index,0.0
ARE,United Arab Emirates,MAT_HEALTH,Maternal health,,,IDX,Index,4.1
ARE,United Arab Emirates,POLLUTION_AIR,Air pollution,,,IDX,Index,9.3
ARE,United Arab Emirates,POLLUTION_LEAD,Lead pollution,,,IDX,Index,3.3
ARE,United Arab Emirates,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,5.1
ARE,United Arab Emirates,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,4.3
"ARE,United Arab Emirates,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,3.3"
ARE,United Arab Emirates,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3
ARE,United Arab Emirates,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.9
ARE,United Arab Emirates,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ARE,United Arab Emirates,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,5.6
"ARE,United Arab Emirates,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
ARE,United Arab Emirates,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.4
ARE,United Arab Emirates,ZIKA,Zika,,,IDX,Index,4.3
ARG,Argentina,AEDES,Aedes,,,IDX,Index,8.2
ARG,Argentina,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,4.1
ARG,Argentina,CHLD_HEALTH,Child health,,,IDX,Index,2.2
ARG,Argentina,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,3.1
ARG,Argentina,CHLD_NUTRITION,Child nutrition,,,IDX,Index,3.6
ARG,Argentina,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.2
ARG,Argentina,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,5.6
ARG,Argentina,COMM_ASSETS,Communication assets,,,IDX,Index,2.3
ARG,Argentina,DENGUE,Dengue,,,IDX,Index,5.7
ARG,Argentina,EDUCATION,Education,,,IDX,Index,0.4
ARG,Argentina,FLOODS_COASTAL,Coastal floods,,,IDX,Index,4.2
ARG,Argentina,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.9
ARG,Argentina,HEATWAVES,Heatwaves,,,IDX,Index,8.4
ARG,Argentina,MALARIA,Malaria,,,IDX,Index,2.6
ARG,Argentina,MAT_HEALTH,Maternal health,,,IDX,Index,3.4
ARG,Argentina,POLLUTION_AIR,Air pollution,,,IDX,Index,2.4
ARG,Argentina,POLLUTION_LEAD,Lead pollution,,,IDX,Index,5.8
ARG,Argentina,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,7.4
ARG,Argentina,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,6.7
"ARG,Argentina,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,5.0"
ARG,Argentina,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,6.9
ARG,Argentina,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,5.8
ARG,Argentina,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ARG,Argentina,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,5.9
"ARG,Argentina,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.3"
ARG,Argentina,WATER_SCARCITY,Water scarcity,,,IDX,Index,6.4
ARG,Argentina,ZIKA,Zika,,,IDX,Index,5.8
ARM,Armenia,AEDES,Aedes,,,IDX,Index,0.0
ARM,Armenia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,3.7
ARM,Armenia,CHLD_HEALTH,Child health,,,IDX,Index,1.7
ARM,Armenia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,3.5
ARM,Armenia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.3
ARM,Armenia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,2.9
ARM,Armenia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,4.4
ARM,Armenia,COMM_ASSETS,Communication assets,,,IDX,Index,2.6
ARM,Armenia,DENGUE,Dengue,,,IDX,Index,0.0
ARM,Armenia,EDUCATION,Education,,,IDX,Index,3.1
ARM,Armenia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,0.0
ARM,Armenia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,5.7
ARM,Armenia,HEATWAVES,Heatwaves,,,IDX,Index,0.0
ARM,Armenia,MALARIA,Malaria,,,IDX,Index,0.9
ARM,Armenia,MAT_HEALTH,Maternal health,,,IDX,Index,4.5
ARM,Armenia,POLLUTION_AIR,Air pollution,,,IDX,Index,7.0
ARM,Armenia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,4.3
ARM,Armenia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,6.4
ARM,Armenia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,5.4
"ARM,Armenia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,4.5"
ARM,Armenia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,4.3
ARM,Armenia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,6.7
ARM,Armenia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,0.0
ARM,Armenia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,0.2
"ARM,Armenia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0.4"
ARM,Armenia,WATER_SCARCITY,Water scarcity,,,IDX,Index,9.0
ARM,Armenia,ZIKA,Zika,,,IDX,Index,0.0
AUS,Australia,AEDES,Aedes,,,IDX,Index,6.1
AUS,Australia,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,3.6
AUS,Australia,CHLD_HEALTH,Child health,,,IDX,Index,1
AUS,Australia,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,1.3
AUS,Australia,CHLD_NUTRITION,Child nutrition,,,IDX,Index,2.5
AUS,Australia,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.2
AUS,Australia,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,5.4
AUS,Australia,COMM_ASSETS,Communication assets,,,IDX,Index,3.0
AUS,Australia,DENGUE,Dengue,,,IDX,Index,5.2
AUS,Australia,EDUCATION,Education,,,IDX,Index,1
AUS,Australia,FLOODS_COASTAL,Coastal floods,,,IDX,Index,4.2
AUS,Australia,FLOODS_RIVERINE,Riverine floods,,,IDX,Index,6.0
AUS,Australia,HEATWAVES,Heatwaves,,,IDX,Index,7.3
AUS,Australia,MALARIA,Malaria,,,IDX,Index,0.0
AUS,Australia,MAT_HEALTH,Maternal health,,,IDX,Index,0.3
AUS,Australia,POLLUTION_AIR,Air pollution,,,IDX,Index,1.3
AUS,Australia,POLLUTION_LEAD,Lead pollution,,,IDX,Index,3.8
AUS,Australia,POLLUTION_PESTICIDE,Pesticide pollution,,,IDX,Index,5.4
AUS,Australia,POLLUTION_SOIL_WATER,Soil and water pollution,,,IDX,Index,4.6
"AUS,Australia,POV_COMM_ASSETS_SOC_PROT,""Poverty, communication assets, and social protection"",,,IDX,Index,2.4"
AUS,Australia,POV_INEQUITY,Poverty and Inequality,,,IDX,Index,3.8
AUS,Australia,SOC_PROT_ECON_EMPOW,Social protection and economic empowerment,,,IDX,Index,0.4
AUS,Australia,TROPICAL_CYCLONES,Tropical cyclones,,,IDX,Index,4.7
AUS,Australia,VECTOR_BORNE_DISEASE,Vector borne diseases,,,IDX,Index,4.3
"AUS,Australia,WASH,""Water, sanitation, and hygiene"",,,IDX,Index,0"
AUS,Australia,WATER_SCARCITY,Water scarcity,,,IDX,Index,8.0
AUS,Australia,ZIKA,Zika,,,IDX,Index,4.4
AUT,Austria,AEDES,Aedes,,,IDX,Index,0.0
AUT,Austria,CHLD_CLIMATE_ENV_RISK_INDEX,Children's Climate and Environment Risk Index,,,IDX,Index,2.1
AUT,Austria,CHLD_HEALTH,Child health,,,IDX,Index,2.3
AUT,Austria,CHLD_HEALTH_NUTRITION,Child health and nutrition,,,IDX,Index,3.3
AUT,Austria,CHLD_NUTRITION,Child nutrition,,,IDX,Index,4.3
AUT,Austria,CHLD_VULNERABILITY,Child vulnerability,,,IDX,Index,1.5
AUT,Austria,CLIMATE_ENV_SHOCKS,Climate and environmental shocks,,,IDX,Index,2.6
AUT,Austria,COMM_ASSETS,Communication assets,,,IDX,Index,2.7
AUT,Austria,DENGUE,Dengue,,,IDX,Index,0.0
